,BlockHeight,uusd_burnt,uluna_minted,spread,delta,lunaPool,terra_pool,usd_per_luna_price,usd_per_ust_price
222,7594564.0,132556.0,100493.45209438854,0.20481810160560027,6021477.343031861,44625742.10051528,56021477.34303186,1.0488855694256105,0.7543973625325239
223,7594565.0,132411.0,100976.70588878449,0.2001192525176901,5856596.560339938,44757470.987322636,55856596.560339935,1.0488855694256105,0.755223266934818
224,7594566.0,130872.0,99621.69737795313,0.20157282855446382,5908035.502628248,44716291.272342674,55908035.50262825,1.045442093824387,0.7641010476030924
225,7594567.0,130933.0,97441.68076239692,0.22197127720278523,6636680.149342389,44141005.32389746,56636680.14934239,1.0538812368748656,0.7637444436389921
226,7594568.0,130933.0,97283.77348734358,0.21696177792690993,6455197.753977715,44282902.18545652,56455197.753977716,1.0538812368748656,0.7637444436389921
227,7594569.0,131616.0,95862.56503268662,0.23240518928819448,7020520.379148273,43843865.03975541,57020520.379148275,1.0538812368748656,0.7597843020867773
228,7594570.0,132671.0,96762.59587058521,0.23135964740361406,6981300.48593517,43874042.513597615,56981300.48593517,1.0538812368748656,0.7537430946618878
229,7594571.0,133514.0,97527.09825512342,0.23017826641456324,6937210.098232774,43908017.19449888,56937210.098232776,1.052712137244485,0.7489822942705192
230,7594572.0,132756.0,97732.37585647636,0.22501387307652745,6747164.994908937,44055064.25253644,56747164.99490894,1.0545733062789169,0.7532565472246291
231,7594573.0,132726.0,98184.80827258638,0.21987343936845113,6559743.745050356,44201048.91685934,56559743.745050356,1.0612129079513952,0.7534280467375444
232,7594574.0,132988.0,95967.5826039392,0.23420130083772925,7086893.2606447,43792889.35177494,57086893.260644704,1.0612129079513952,0.7519474717778469
233,7594575.0,131826.0,95789.42795692444,0.2288852169286146,6890035.114515681,43944427.08582749,56890035.11451568,1.0612129079513952,0.7585756042523101
234,7594576.0,132755.0,96588.79048384758,0.22789144495595687,6853034.993173079,43973026.24741495,56853034.99317308,1.0602109396822053,0.7532625685880566
235,7594577.0,133647.0,97982.57954913686,0.22271204938175335,6662672.910029382,44120756.60407993,56662672.91002938,1.0532664577154427,0.7482363121997463
236,7594578.0,133050.0,97452.60771462828,0.22853391264397488,6876616.169167354,43954794.92950642,56876616.169167355,1.0532664577154427,0.7515916213000413
237,7594579.0,133550.0,97836.79464478345,0.22839225660992687,6871204.571038023,43958977.46243868,56871204.57103802,1.0532664577154427,0.7487827041054842
238,7594580.0,133555.0,97984.90821084075,0.22725306292684636,6829230.487769152,43991445.57373609,56829230.48776915,1.0532664577154427,0.7487547334198174
239,7594581.0,132783.0,98070.01497527711,0.22208522716680187,6640274.105071325,44138204.47553521,56640274.10507132,1.0600937854765315,0.753107495837914
240,7594582.0,134540.0,99362.17319868153,0.2170862024723869,6458210.712197121,44280538.97676755,56458210.712197125,1.0462423892481432,0.7432718593356623
241,7594583.0,134107.0,100064.97098279082,0.2193381827862738,6539951.104413513,44216522.14348749,56539951.10441351,1.0462423892481432,0.745670223766297
242,7594584.0,134895.0,101282.82395230432,0.21445284316203028,6363416.746154679,44355011.536282696,56363416.74615468,1.0462423892481432,0.7413128216366948
