,BlockHeight,uluna_burnt,uusd_minted,spread,delta,lunaPool,terra_pool,usd_per_luna_price,usd_per_ust_price
54,7594396.0,84311.0,94997.11780187716,0.05,4419731.275654008,45939219.86377826,54419731.27565401,1.1860749734947371,0.7681077478702834
55,7594397.0,84532.0,95248.22517648427,0.05,4353943.211358137,45994823.0485987,54353943.21135814,1.1829806219412806,0.7661342133800804
56,7594398.0,84193.0,94618.75312794711,0.05,4287351.720524129,46051242.52275578,54287351.72052413,1.1877433578360397,0.7692187059326976
57,7594399.0,84193.0,94999.69269997522,0.05,4299083.667282165,46041292.61773107,54299083.667282164,1.1877433578360397,0.7758443184605814
58,7594400.0,84193.0,94999.69269997522,0.05,4207837.116758623,46118792.650133476,54207837.11675862,1.1877433578360397,0.7814665887946952
59,7594401.0,85040.0,95955.41039285797,0.05,4379602.415158053,45973120.2319923,54379602.415158056,1.1759099498792345,0.7785535923600165
60,7594402.0,83201.0,92945.03955290708,0.05,4280900.847157458,46056715.36364928,54280900.847157456,1.201896035348345,0.795585528843231
61,7594403.0,83201.0,94999.00443516676,0.05,4425225.287746181,45934582.4805042,54425225.28774618,1.201896035348345,0.7956416283152916
62,7594404.0,83201.0,94999.00443516676,0.05,4335988.516508535,46010021.50242361,54335988.516508535,1.201896035348345,0.7969656894073274
63,7594405.0,83201.0,94999.00443516676,0.05,4427902.296266877,45932323.21157215,54427902.296266876,1.201896035348345,0.7962018663972542
64,7594406.0,84476.0,96454.80100798245,0.05,4454968.218498899,45909493.32609701,54454968.2184989,1.183754197086706,0.7833443661120227
65,7594407.0,83206.0,93570.67913665663,0.05,4361292.515496882,45988604.83840262,54361292.51549688,1.2018250181718375,0.7953026560364801
66,7594408.0,84700.0,96704.85008719692,0.05,4247610.081177524,46084979.52737338,54247610.081177525,1.1806303402944214,0.7821077235039893
67,7594409.0,84700.0,94999.42033179062,0.05,4282693.841145656,46055194.07927815,54282693.84114566,1.1806303402944214,0.7871726352653878
68,7594410.0,84700.0,94999.42033179062,0.05,4344248.999093715,46003027.84645514,54344248.99909371,1.1806303402944214,0.7871726352653878
69,7594411.0,84727.0,95029.70350001915,0.05,4223575.415785557,46105406.75029335,54223575.41578556,1.1802541581502184,0.7841160656957145
70,7594412.0,85069.0,95382.88893069688,0.05,4255888.378657407,46077947.93723114,54255888.37865741,1.1755041199004654,0.7808568237427618
71,7594413.0,85069.0,94999.01197702205,0.05,4137669.257028035,46178567.2399529,54137669.257028036,1.1755041199004654,0.7786786547144927
72,7594414.0,85069.0,94999.01197702205,0.05,4931392.446068491,45511316.72940012,54931392.44606849,1.1755041199004654,0.7786786547144927
73,7594415.0,85069.0,94999.01197702205,0.05,4794409.322566588,45625092.61269465,54794409.32256659,1.1755041199004654,0.7694289481743954
74,7594416.0,86248.0,96315.63536651657,0.05,4818162.874301014,45605322.55946889,54818162.87430102,1.159437410497608,0.7577190148206282
75,7594417.0,86916.0,95734.97887226958,0.05,4686713.682281541,45714943.021160156,54686713.68228154,1.150526953143813,0.7521505245939725
76,7594418.0,86916.0,94999.24062647526,0.05,4716798.22354389,45689807.90481056,54716798.22354389,1.150526953143813,0.7567350751543128
77,7594419.0,86916.0,94999.24062647526,0.05,4585907.7289217,45799366.61336136,54585907.7289217,1.150526953143813,0.7601288018529794
78,7594420.0,86916.0,94999.24062647526,0.05,4602793.185336034,45785203.54287284,54602793.18533603,1.150526953143813,0.7513563107746536
79,7594421.0,87098.0,95198.16673667383,0.05,4632026.347824146,45760704.24485671,54632026.34782415,1.1481315844448012,0.7560125883668276
80,7594422.0,88424.0,96446.26786179974,0.05,4679021.738743139,45721373.94748982,54679021.73874314,1.1309035690688365,0.750702702898071
81,7594423.0,88424.0,94999.06633177566,0.05,4549048.912666941,45830313.26545219,54549048.91266694,1.1309035690688365,0.7504761481630087
82,7594424.0,88424.0,94999.06633177566,0.05,4580051.981592431,45804280.30451758,54580051.98159243,1.1309035690688365,0.7500970353233596
83,7594425.0,88424.0,94999.06633177566,0.05,4533234.027904192,45843604.26379208,54533234.02790419,1.1309035690688365,0.7478317922376724
84,7594426.0,88098.0,94648.82549643503,0.05,4562889.839635916,45818687.52457342,54562889.839635916,1.1350876635313891,0.7682285427019496
85,7594427.0,88467.0,95396.91031314984,0.05,4860366.423193171,45570238.8262409,54860366.42319317,1.1303646772730749,0.7663748171796947
86,7594428.0,88218.0,94732.58554469232,0.05,4888535.537126098,45546851.91608042,54888535.537126094,1.1335539604024247,0.76588425637043
87,7594429.0,88218.0,94999.87011484205,0.05,4824228.504654251,45600276.88830614,54824228.50465425,1.1335539604024247,0.76247026203562
88,7594430.0,88218.0,94999.87011484205,0.05,4867993.8478362905,45563903.92062032,54867993.84783629,1.1335539604024247,0.7738925510576584
89,7594431.0,90211.0,97146.08450576996,0.05,4759915.171220708,45653832.59238292,54759915.171220705,1.1085,0.7552879591513774
90,7594432.0,90211.0,94998.94882499998,0.05,4837918.654647421,45588892.89260305,54837918.654647425,1.1085,0.7637316680285458
91,7594433.0,87759.0,92416.808925,0.05,4706816.440551659,45698144.44817272,54706816.44055166,1.1394715272703753,0.7804176554260358
92,7594434.0,87759.0,94998.93767363482,0.05,4576071.539425224,45807620.98631493,54576071.539425224,1.1394715272703753,0.7804176554260358
93,7594435.0,87759.0,94998.93767363482,0.05,5108117.832721581,45365367.17854612,55108117.83272158,1.1394715272703753,0.7834637343946729
94,7594436.0,87850.0,95097.44498716736,0.05,4966225.670701537,45482475.274495095,54966225.67070153,1.1382909754881272,0.7821914182382569
95,7594437.0,89262.0,96525.82260132015,0.05,4839892.510028989,45587252.00897879,54839892.51002899,1.12029553,0.7661774538715289
96,7594438.0,89246.0,94982.800126861,0.05,4869428.90267802,45562712.24244475,54869428.90267802,1.120490776748026,0.7655506201039913
97,7594439.0,89246.0,94999.3538685716,0.05,4829846.798143226,45595604.32849251,54829846.79814322,1.120490776748026,0.765512099186061
98,7594440.0,89246.0,94999.3538685716,0.05,4864358.263933655,45566923.210390165,54864358.26393366,1.120490776748026,0.7682493222261982
99,7594441.0,89552.0,95325.08053737227,0.05,4731449.856718777,45677576.72315897,54731449.85671878,1.116669011850202,0.7645502157100474
100,7594442.0,90162.0,95647.05587411602,0.05,4783738.722910231,45633979.32084753,54783738.72291023,1.109103374006324,0.7587080028794336
101,7594443.0,90162.0,94999.02948680028,0.05,4651043.238765338,45744780.919876166,54651043.23876534,1.109103374006324,0.7624956738234505
102,7594444.0,90162.0,94999.02948680028,0.05,4699160.029071508,45704540.959519304,54699160.02907151,1.109103374006324,0.7669137811889148
103,7594445.0,90162.0,94999.02948680028,0.05,4741672.1346416,45669047.04428916,54741672.1346416,1.109103374006324,0.7729331183594125
104,7594446.0,89779.0,94595.48222416808,0.05,4785579.815804045,45632445.77141124,54785579.81580404,1.113839693262925,0.76769460581213
105,7594447.0,90226.0,95472.43515612364,0.05,4686389.290153731,45715214.19590458,54686389.29015373,1.1083246224683814,0.7618989585337339
106,7594448.0,92240.0,97120.27001765932,0.05,5171284.329313647,45313427.63524716,55171284.32931365,1.0841262457294971,0.7562855261468583
107,7594449.0,92240.0,94999.81466078438,0.05,5066865.271490726,45399352.00005479,55066865.27149072,1.0841262457294971,0.7577439515015478
108,7594450.0,92240.0,94999.81466078438,0.05,5031642.77539806,45428409.437154345,55031642.77539806,1.0841262457294971,0.7528370236803182
109,7594451.0,91842.0,94589.90652727406,0.05,5039985.515135149,45421523.58147948,55039985.51513515,1.0888217697998035,0.7555493265965612
110,7594452.0,91815.0,94971.66225446049,0.05,4925081.835452505,45516545.746615976,54925081.835452504,1.0891453778900344,0.7553810644838932
111,7594453.0,91407.0,94577.73597895466,0.05,4817706.120862403,45605702.55325871,54817706.1208624,1.094003121707399,0.7577869488287435
112,7594454.0,91407.0,94999.56617861283,0.05,4832763.14139839,45593179.274099275,54832763.14139839,1.094003121707399,0.7538167245676517
