,BlockHeight,burnt_denom,tokens_burnt,minted_denom,tokens_minted,swap_amount,swap_fee_amount,spread,terraPool,lunaPool,delta,ukrw_oracle_price,usdr_oracle_price,uusd_oracle_price,usd_per_ust_price,usd_per_luna_price,expected_profit
2933,7594941,uusd,748.0,uluna,733.8802515865863,614.3390147481988,119.54123683838746,0.16288929505862781,54648817.79481488,45746643.767968245,4648817.794814878,1303.5373722831114,0.7595495818370112,1.0192398533451308,0.7704488276070249,1.0190415193943536,49.74123996218009
2934,7594941,uusd,25.0,uluna,24.52808327495275,20.53250465680132,3.9955786181514297,0.16289811859174416,54648836.42511027,45746628.17251292,4648836.425110273,1303.5373722831114,0.7595495818370112,1.0192398533451308,0.7704488276070249,1.0190415193943536,1.6622540522628348
2935,7594941,uusd,1000000.0,uluna,981123.3309981102,810251.0222642986,170872.30873381163,0.17415986689459406,55394048.24090043,45131202.34736905,5394048.240900423,1303.5373722831114,0.7595495818370112,1.0192398533451308,0.7704488276070249,1.0190415193943536,55230.60521201417
2936,7594941,uusd,3000.0,uluna,2943.369992994331,2397.9555566057625,545.4144363885684,0.18530271005233387,55396283.876347795,45129380.98122877,5396283.876347794,1303.5373722831114,0.7595495818370112,1.0192398533451308,0.7704488276070249,1.0190415193943536,132.2697910225943
2937,7594941,uusd,3200.0,uluna,3139.594659193952,2557.605935293316,581.9887239006357,0.1853706567490637,55398668.55415832,45127438.35271011,5398668.5541583225,1303.5373722831114,0.7595495818370112,1.0192398533451308,0.7704488276070249,1.0190415193943536,140.870389970838
2938,7594941,uusd,98.0,uluna,96.15008643781479,78.32320688563074,17.82687955218405,0.18540679694254472,55398741.58491627,45127378.862351075,5398741.58491627,1303.5373722831114,0.7595495818370112,1.0192398533451308,0.7704488276070249,1.0190415193943536,4.310614643083014
2939,7594941,uusd,7000.0,uluna,6867.863316986772,5593.980659329632,1273.88265765714,0.18548456759562412,55403958.067626804,45123129.95668048,5403958.067626801,1303.5373722831114,0.7595495818370112,1.0192398533451308,0.7704488276070249,1.0190415193943536,307.3567572967213
2940,7594942,uusd,1000.0,uluna,981.3142850100253,803.5579521524642,177.7563328575611,0.18114108351713754,55254594.5792987,45245106.20401208,5254594.579298699,1302.9491643903348,0.7606716892507368,1.0190415193943536,0.7660272371743665,1.0230710610942109,56.06964958494609
2941,7594943,uusd,3200.0,uluna,3127.837470622506,2574.6969968079848,553.1404738145209,0.17684437858736768,55111015.95372758,45362981.551620364,5111015.953727578,1308.3102328874854,0.7616556126490506,1.0230710610942109,0.7650294954244423,1.0230710610942109,186.00360316220758
2942,7594944,uusd,15041.0,uluna,14701.813561135348,12161.47081977447,2540.3427413608783,0.17279111388518384,54980241.007161215,45470881.06933495,4980241.007161215,1308.3102328874854,0.7616556126490506,1.0230710610942109,0.7644008065976977,1.0230710610942109,944.6963240169771
2943,7594944,uusd,627.0,uluna,612.8606544000972,506.85622367446456,106.00443072563266,0.17296661152019263,54980707.79591841,45470495.01944738,4980707.795918411,1308.3102328874854,0.7616556126490506,1.0230710610942109,0.7644008065976977,1.0230710610942109,39.270628840082736
2944,7594944,uusd,34645.361154,uluna,33864.080875228305,27993.35542181097,5870.7254534173335,0.1733614290329607,55006500.56318423,45449173.72317348,5006500.56318423,1308.3102328874854,0.7616556126490506,1.0230710610942109,0.7644008065976977,1.0230710610942109,2156.2498239933884
2945,7594945,uusd,280000.0,uluna,273685.7786794693,226420.69810805307,47265.08057141625,0.17269834333179354,55075885.41252922,45391916.64872036,5075885.412529223,1308.3102328874854,0.7616556126490506,1.0230710610942109,0.7690654842727053,1.0230710610942109,16306.128270740359
2946,7594945,uusd,200000.0,uluna,195489.84191390665,160682.54854530335,34807.2933686033,0.17805167280217232,55224781.34783883,45269531.88376608,5224781.347838826,1308.3102328874854,0.7616556126490506,1.0230710610942109,0.7690654842727053,1.0230710610942109,10576.568585024506
2947,7594945,uusd,10896.961341,uluna,10651.226249470212,8729.870773228327,1921.3554762418837,0.18038819486511717,55232893.91409333,45262882.72869395,5232893.91409333,1308.3102328874854,0.7616556126490506,1.0230710610942109,0.7690654842727053,1.0230710610942109,550.8013043649316
2948,7594945,uusd,500.0,uluna,488.7246047847666,400.5029217603037,88.22168302446292,0.18051410172670881,55233266.1539316,45262577.683395706,5233266.153931604,1308.3102328874854,0.7616556126490506,1.0230710610942109,0.7690654842727053,1.0230710610942109,25.210207000292996
2949,7594945,uusd,100000.0,uluna,97744.92095695333,79992.22438022836,17752.696576724968,0.18162270124033575,55307714.121586405,45201651.15672822,5307714.121586405,1308.3102328874854,0.7616556126490506,1.0230710610942109,0.7690654842727053,1.0230710610942109,4931.181448695919
2950,7594945,uusd,233.0,uluna,227.74566582970127,186.1304162676041,41.61524956209718,0.18272685633989336,55307887.58535104,45201509.38945199,5307887.585351041,1308.3102328874854,0.7616556126490506,1.0230710610942109,0.7690654842727053,1.0230710610942109,11.232384637264573
2951,7594945,uusd,2500.0,uluna,2443.6230239238325,1997.0340037251992,446.5890201986333,0.18275692110705594,55309748.78454241,45199988.3372944,5309748.784542411,1308.3102328874854,0.7616556126490506,1.0230710610942109,0.7690654842727053,1.0230710610942109,120.44398655059672
2952,7594946,uusd,17.0,uluna,16.616636562682064,13.652085356527948,2.964551206154117,0.17840862047930678,55162268.418904066,45320833.81732815,5162268.418904067,1308.3102328874854,0.7616556126490506,1.0230710610942109,0.7655989492742749,1.019543378383128,0.9037110887066628
2953,7594946,uusd,160.0,uluna,156.39187353112533,128.489908198688,27.901965332437335,0.1784105829954409,55162387.53565232,45320735.9522684,5162387.535652314,1308.3102328874854,0.7616556126490506,1.0230710610942109,0.7655989492742749,1.019543378383128,8.50520320914437
2954,7594946,uusd,7375.0,uluna,7208.687920575307,5921.97947828864,1286.708442286666,0.1784941249314032,55167878.07326686,45316225.44336077,5167878.073266856,1308.3102328874854,0.7616556126490506,1.0230710610942109,0.7655989492742749,1.019543378383128,391.422713112177
2955,7594946,uusd,15440.0,uluna,15091.815795753591,12394.198986998439,2697.616808755153,0.17874700070976124,55179372.839472756,45306785.33213803,5179372.839472758,1308.3102328874854,0.7616556126490506,1.0230710610942109,0.7655989492742749,1.019543378383128,815.575730762328
2956,7594946,uusd,34533.463562,uluna,33754.706662375174,27702.472036109033,6052.234626266141,0.1793004657632617,55205082.30125548,45285685.588827476,5205082.301255478,1308.3102328874854,0.7616556126490506,1.0230710610942109,0.7655989492742749,1.019543378383128,1805.0885113900804
2957,7594946,uusd,709.382976,uluna,693.3858291732831,568.7909690955971,124.594860077686,0.1796905198167075,55205610.422464,45285252.36599344,5205610.422463999,1308.3102328874854,0.7616556126490506,1.0230710610942109,0.7655989492742749,1.019543378383128,36.80420516688025
2958,7594946,uusd,14100.0,uluna,13782.033854930418,11303.275593372975,2478.758261557442,0.1798543152374194,55216107.585903324,45276643.16269643,5216107.585903326,1308.3102328874854,0.7616556126490506,1.0230710610942109,0.7655989492742749,1.019543378383128,729.2346004957635
2959,7594946,uusd,50000.0,uluna,48872.46047847666,40047.919115503886,8824.54136297278,0.1805626579177263,55253331.56973073,45246140.44032718,5253331.569730727,1308.3102328874854,0.7616556126490506,1.0230710610942109,0.7655989492742749,1.019543378383128,2550.6432885213435
